layer,subclass,outcome,n_samples,n_scz,n_ctrl,ctrl_mean,scz_mean,log2fc,coef,se,tstat,pval,converged,fdr
L1,Vip,density_per_mm2,24,12,12,2.1474033879209986,2.5033750693284507,0.2212812339679111,0.18519602799676338,0.12881414461776777,1.437699474279773,0.16678604778207062,True,0.5472667192849192
L2/3,Astrocyte,density_per_mm2,24,12,12,58.58403894124313,57.21357453879616,-0.0341501773186571,-0.03492832368201404,0.11452102658598926,-0.3049948531136137,0.7636859230012758,True,0.9030234455446736
L2/3,Chandelier,density_per_mm2,24,12,12,6.886021067544136,6.549333748626253,-0.0723224433221788,0.026420998719709543,0.13283191006221137,0.19890550928113102,0.8444496790833799,True,0.9459103045882268
L2/3,Endothelial,density_per_mm2,24,12,12,6.795314431587759,22.20995823696767,1.7085944663012835,0.8669389188084221,0.2794600528777493,3.1021926385581393,0.005866378662448966,True,0.12319395191142829
L2/3,L2/3 IT,density_per_mm2,24,12,12,110.98337044497701,103.4846260316457,-0.10092706906228253,-0.05394623891908468,0.1339360288166643,-0.40277615661524446,0.6916087921094869,True,0.8855966240426356
L2/3,L4 IT,density_per_mm2,24,12,12,2.967694762342689,3.479999034609335,0.22974419243341557,0.1698178818298527,0.17088260625151552,0.9937692639115318,0.3328236293759502,True,0.6966218803221391
L2/3,L5 ET,density_per_mm2,24,12,12,2.3465941181096452,1.840698155342816,-0.35031525821586684,-0.18127004190900284,0.15616998070984078,-1.1607227015401713,0.26013136985838936,True,0.6489309511139887
L2/3,L5 IT,density_per_mm2,24,12,12,8.934376544327373,7.235271567245782,-0.30431989151455124,-0.18265648623928576,0.13127785804083345,-1.3913731452144138,0.18019055851920746,True,0.5733335952883873
L2/3,L5/6 NP,density_per_mm2,18,10,8,0.0753091969618849,0.12270175066948438,0.7042578664894836,0.05561452736838526,0.038864410981810184,1.4309885564563085,0.17603109270809011,True,0.5687158379799834
L2/3,L6 CT,density_per_mm2,23,11,12,0.1751225510927855,0.22371348617561318,0.3532873531582154,0.04998104809496366,0.050133317433256774,0.9969627117037322,0.33199707300613357,True,0.6966218803221391
L2/3,L6 IT,density_per_mm2,24,12,12,2.197851508952239,2.3223135999171256,0.07946888525137805,-0.017909717520374346,0.16726046618099083,-0.10707681216788208,0.9158506030168567,True,0.9616431331676996
L2/3,L6 IT Car3,density_per_mm2,10,5,5,0.03629802129831452,0.027920967998172362,-0.378541945694733,-0.016177332874220664,0.010976630948371117,-1.473797647958758,0.20053601600368326,True,0.5911932416838778
L2/3,L6b,density_per_mm2,21,10,11,0.08189201669459979,0.15887530810432599,0.9561002014154277,0.05396280777001192,0.035748541416395156,1.5095107557385055,0.15066231499110255,True,0.5140211944811667
L2/3,Lamp5,density_per_mm2,24,12,12,6.5896635069615845,6.029440481769332,-0.12818066812151538,-0.07991222979561063,0.11604470915026098,-0.6886331171905127,0.4993771934770769,True,0.7710971369866628
L2/3,Microglia-PVM,density_per_mm2,24,12,12,25.042699011063053,21.343908622964637,-0.230565663860513,0.003446485282657785,0.1716805640188975,0.0200749881173411,0.9841928752008365,True,0.9886484140164781
L2/3,OPC,density_per_mm2,24,12,12,12.501373487920402,11.60568531791648,-0.10725489150256821,-0.07246489662511568,0.10064947120515327,-0.719972949260815,0.48030554427415834,True,0.7597202941852418
L2/3,Oligodendrocyte,density_per_mm2,24,12,12,31.459232943866386,19.446456580168032,-0.6939761949193267,-0.5356756122311055,0.12573870346717642,-4.260228533141679,0.00042303356349957406,True,0.08551780910841326
