stratum,celltype,scz_mean,ctrl_mean,diff_mean,log2_ratio,n_scz,n_ctrl,U_stat,pval_nominal,pval_fdr_global,pval_fdr_stratum
L6,Astro_5,0.014542449579184852,0.019186600107488582,-0.00464415052830373,-0.3998047729703242,12,12,47.0,0.1572127533400038,0.47542557882165576,0.454642286685957
L5,Sst_25,1.5295725021131807e-05,4.899420122173156e-05,-3.369847620059975e-05,-1.6172672266508374,12,12,52.0,0.16103775219831917,0.47542557882165576,0.4831132565949575
L4,Vip_13,5.731921633285e-05,0.00013248335698738732,-7.516414065453732e-05,-1.194616635955976,12,12,49.0,0.16507222541225253,0.47542557882165576,0.41476830937478737
L4,Pvalb_13,0.0,1.6955825312167883e-05,-1.6955825312167883e-05,-4.166380060694591,12,12,60.0,0.16622459112835397,0.47542557882165576,0.41476830937478737
L2/3,Sst_7,0.0,1.415535391050387e-05,-1.415535391050387e-05,-3.9217556374726312,12,12,60.0,0.16622459112835397,0.47542557882165576,0.5273331856485712
L4,L5/6 NP_4,0.0,1.7729740993833332e-05,-1.7729740993833332e-05,-4.227259044148201,12,12,60.0,0.16622459112835397,0.47542557882165576,0.41476830937478737
L4,Vip_11,3.260159889950833e-05,0.0,3.260159889950833e-05,5.070457978769643,12,12,84.0,0.16622459112835397,0.47542557882165576,0.41476830937478737
L4,L6b_4,3.312378231845e-05,0.0,3.312378231845e-05,5.0927056603490914,12,12,84.0,0.16622459112835397,0.47542557882165576,0.41476830937478737
L5,L6 CT_4,0.0,1.3165849554135523e-05,-1.3165849554135523e-05,-3.8243452204851454,12,12,60.0,0.16622459112835397,0.47542557882165576,0.48420915755065674
L4,Sst_19,9.802547773305e-05,0.0001915655583389131,-9.354008060586309e-05,-0.9594780291068243,12,12,48.5,0.16812201477190458,0.47676668346237805,0.41476830937478737
L6,Sst_19,5.681026104677034e-05,0.00017445596530732996,-0.00011764570426055961,-1.6017115065130747,12,12,49.0,0.17193556541463395,0.47676668346237805,0.4797257394251877
L4,Astro_3,0.0005228191968935917,7.715850983492217e-05,0.0004456606870586695,2.744594066105056,12,12,95.0,0.17193556541463395,0.47676668346237805,0.41476830937478737
L6,OPC_1,0.012417778418333676,0.005538265843895833,0.006879512574437843,1.1647565848550443,12,12,96.0,0.1748533068932927,0.47676668346237805,0.4797257394251877
L4,L4 IT_2,0.0066632368355703095,0.005881466484427458,0.0007817703511428511,0.18001847686278963,12,12,96.0,0.1748533068932927,0.47676668346237805,0.41476830937478737
L5,VLMC_2,0.03919431630694318,0.03573513903438784,0.00345917727255534,0.1332974953138787,12,12,96.0,0.1748533068932927,0.47676668346237805,0.48420915755065674
L5,L2/3 IT_12,0.021129911071316645,0.017509813791194036,0.0036200972801226083,0.27110883862135904,12,12,96.0,0.1748533068932927,0.47676668346237805,0.48420915755065674
L4,Sncg_6,0.00020590667560194998,0.00012528292657194566,8.062374903000433e-05,0.7123205926072896,12,12,95.0,0.1821014552397553,0.49324169002026436,0.42214428260125086
L5,Pax6_3,0.00011974790134300778,0.00019308281856333115,-7.333491722032337e-05,-0.6846742926886311,12,12,49.0,0.19052203880924612,0.5052083986210572,0.510842245036594
L6,Vip_9,0.0001743840858470074,0.00022569010221859165,-5.130601637158425e-05,-0.37020355604993255,12,12,49.0,0.1919871182471259,0.5052083986210572,0.48257212079576617
